_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
1.6993,132.8504900673102,11.7859408919889,132.85044083113,11.78592828222,1.1778,0.0169,-10.845,0.017,-2.837,0.012,0,13.319411,0.002764,13.615169,0.003508,12.756721,0.010291,0.858448
1.7066,132.8338574594983,11.8397943478156,132.83380736374,11.83978233597,1.1394,0.0201,-11.032,0.021,-2.703,0.016,0,13.801401,0.002764,14.10154,0.002921,13.340214,0.003848,0.761326
1.7097,132.8202618780156,11.8274306519919,132.82021155463,11.82741739234,1.1464,0.0443,-11.082,0.045,-2.983,0.033,0,15.765214,0.002787,16.41478,0.00467,15.000711,0.005319,1.414068
1.7755,132.8291756721788,11.7892401687506,132.82912472524,11.78922830296,0.9837,0.1506,-11.221,0.156,-2.67,0.119,0,17.997208,0.003074,19.014456,0.034871,17.02812,0.010566,1.986336
1.7761,132.8273828323271,11.8373195616088,132.82733319952,11.83730654525,1.1617,0.0354,-10.93,0.037,-2.929,0.026,0,15.270044,0.002773,15.823313,0.003414,14.571344,0.003973,1.251968
1.7874,132.8762900956412,11.8151726326809,132.87624057104,11.8151593888,1.2854,0.0975,-10.907,0.094,-2.98,0.073,0,17.088352,0.003118,17.483303,0.040175,15.865183,0.021635,1.61812
1.7977,132.8226337143562,11.8334659292027,132.82264861148,11.83345383998,0.9689,0.3367,3.281,0.324,-2.72,0.239,0,19.27679,0.003935,20.46062,0.119692,18.300919,0.031158,2.159702
1.8018,132.8239382815183,11.8348898369729,132.82389034196,11.83487795282,0.975,0.0413,-10.557,0.046,-2.674,0.031,0,13.35867,0.002762,13.65143,0.002876,12.904737,0.003872,0.746693
1.8222,132.8664476441329,11.8366440927718,132.86639751587,11.83663088292,1.1679,0.0231,-11.039,0.024,-2.972,0.017,0,14.234067,0.002764,14.571932,0.00303,13.729442,0.00386,0.84249
1.825,132.8538084615278,11.8433132979192,132.85375933648,11.84329985753,1.086,0.1853,-10.818,0.197,-3.024,0.138,0,18.437265,0.003211,19.632492,0.056302,17.36901,0.014456,2.263481
1.8263,132.8768918345745,11.816201279475,132.87684134733,11.81618806596,1.3622,0.0275,-11.119,0.028,-2.973,0.021,0,11.806252,0.002762,12.311217,0.002864,11.143867,0.003802,1.167351
1.8376,132.8707165217949,11.7952742256124,132.87066872744,11.7952605101,1.1318,0.044,-10.527,0.043,-3.086,0.029,0,15.419273,0.002777,15.951048,0.004049,14.728755,0.004553,1.222293
1.8509,132.8773683851481,11.815225123947,132.87731954225,11.81521125344,1.1808,0.0217,-10.757,0.024,-3.121,0.016,0,13.156977,0.002765,13.452969,0.003111,12.663959,0.004051,0.78901
1.8741,132.8154085352054,11.8043644289661,132.81544074203,11.80436862754,0.9079,0.0237,7.093,0.027,0.945,0.017,0,14.208541,0.00277,14.484172,0.003193,13.769138,0.003923,0.715034
1.8788,132.8778660141588,11.8145917381364,132.8778161229,11.81457891942,1.1852,0.0451,-10.988,0.046,-2.884,0.032,0,15.566227,0.002811,15.89842,0.011787,14.831392,0.00869,1.067028
1.8909,132.8773998660449,11.8203426507558,132.8773505033,11.82032904933,1.1735,0.0148,-10.871,0.015,-3.06,0.011,0,12.542159,0.002764,12.846102,0.002822,12.078667,0.003794,0.767435
1.8931,132.826091424382,11.838806177619,132.82604185779,11.83879400845,1.0674,0.0301,-10.915,0.032,-2.738,0.022,0,14.131107,0.002787,14.469818,0.003363,13.620501,0.004008,0.849317
1.9381,132.8327759881277,11.78425582291,132.8327256703,11.7842441466,1.1183,0.0559,-11.083,0.054,-2.627,0.038,0,16.013441,0.002886,16.120451,0.035323,15.055011,0.03808,1.06544
1.9577,132.8125567487386,11.8146683407953,132.81250776537,11.81465543419,1.246,0.083,-10.788,0.084,-2.904,0.061,0,17.08221,0.002854,17.919245,0.014431,16.181067,0.006518,1.738178
1.966,132.8224015978702,11.8372581908612,132.82235500858,11.83724592515,2.1327,0.6649,-10.26,0.662,-2.76,0.475,0,20.240671,0.006113,20.875565,0.142895,19.072254,0.060375,1.80331
1.9789,132.8329459336651,11.7834558830277,132.83289299566,11.78343701656,1.118,0.0185,-11.66,0.019,-4.245,0.015,0,12.022738,0.002766,12.256221,0.002823,11.640588,0.003795,0.615633
1.9816,132.8207548374903,11.8359552198106,132.82071018664,11.83593627445,1.324,0.0325,-9.833,0.033,-4.263,0.025,0,13.037514,0.002766,13.319734,0.002837,12.601793,0.003803,0.71794
