_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
1.1108,88.0627094846414,32.529225997154,88.06271952674,32.52920035271,0.664,0.0188,1.905,0.021,-5.77,0.013,0,13.689555,0.002784,13.927207,0.004343,13.255166,0.005712,0.672041
1.1146,88.0627375411518,32.5609128666486,88.06274673252,32.56088729776,0.622,0.024,1.743,0.03,-5.753,0.016,0,13.377145,0.002816,13.584491,0.002849,13.029519,0.003859,0.554972
1.1195,88.08775043413,32.55973272781,88.08775043413,32.55973272781,,,,,,,0,20.727865,0.020963,19.951309,0.35566,18.760973,0.243769,1.190336
1.1257,88.0519126418409,32.5456296467341,88.0519213624,32.54560436229,0.646,0.0203,1.654,0.024,-5.689,0.015,0,13.717948,0.002795,13.941896,0.004921,13.279805,0.004353,0.662091
1.1273,88.0898299300584,32.5584028375389,88.08982978241,32.55836802865,1.1019,0.0699,-0.028,0.076,-7.832,0.052,0,16.255657,0.002872,16.99095,0.009423,15.401459,0.005437,1.589491
1.1304,88.0964533604308,32.543755463775,88.09646518619,32.54374114822,0.0608,0.3391,2.243,0.379,-3.221,0.247,0,19.313515,0.004532,19.802162,0.072399,18.5427,0.032161,1.259462
1.1368,88.063633286526,32.5617671643696,88.06364374886,32.56174292437,0.7157,0.0307,1.984,0.034,-5.454,0.019,0,14.426205,0.002773,14.75485,0.005228,13.840938,0.005773,0.913913
1.1476,88.0515495867964,32.5434237162709,88.05155774828,32.54339904516,0.4366,0.1079,1.548,0.135,-5.551,0.082,0,17.404558,0.002987,18.037289,0.021628,16.641172,0.006909,1.396116
1.15,88.0947338909381,32.5531684451644,88.09473448677,32.55317048072,0.4314,0.284,0.113,0.305,0.458,0.208,0,18.9447,0.004042,19.738052,0.048999,18.214581,0.026155,1.523472
1.1523,88.0524200777815,32.5507761253497,88.05242821357,32.55075044535,0.6679,0.0848,1.543,0.095,-5.778,0.062,0,17.06259,0.002935,17.615604,0.013257,16.2946,0.010283,1.321005
1.1605,88.051408715641,32.5475534922007,88.05141897069,32.54752822109,0.6022,0.034,1.945,0.036,-5.686,0.024,0,14.687449,0.002773,15.060373,0.007371,14.079357,0.004378,0.981016
1.1676,88.09405289345,32.55488589102,88.09405289345,32.55488589102,,,,,,,0,20.949581,0.021033,21.364532,0.040487,20.347424,0.431915,1.017109
1.1678,88.0970576431742,32.5474721666892,88.09707212677,32.54744872669,0.7778,0.0942,2.747,0.112,-5.274,0.069,0,16.762114,0.003189,17.013704,0.033421,15.894826,0.016022,1.118878
1.1704,88.0638496638465,32.5624908222095,88.0638608329,32.56246530221,0.7353,0.043,2.118,0.052,-5.742,0.03,0,15.299041,0.002826,15.669846,0.01258,14.652316,0.005904,1.017529
1.1705,88.06285272377,32.5280030027931,88.06286110525,32.52797790946,0.6753,0.0132,1.59,0.016,-5.646,0.01,0,10.677459,0.00276,11.343157,0.002836,9.890124,0.003793,1.453032
1.1728,88.0836589010022,32.5628430734743,88.08366527129,32.56283234903,0.3151,0.1773,1.208,0.239,-2.413,0.208,0,17.232128,0.00417,17.072954,0.088704,15.812544,0.078153,1.26041
1.1796,88.0576760163582,32.5310904047428,88.05768790898,32.53108807141,0.3587,0.0442,2.256,0.052,-0.525,0.032,0,15.843145,0.002797,16.22526,0.003984,15.280404,0.00518,0.944856
1.1889,88.097296261635,32.541451906441,88.09729241823,32.54145075533,0.246,0.07,-0.729,0.087,-0.259,0.058,0,16.858751,0.002849,17.311899,0.007508,16.246552,0.005631,1.065348
1.1906,88.0966788505004,32.5507893714472,88.09669089864,32.55076547367,0.5034,0.1025,2.285,0.125,-5.377,0.076,0,17.496807,0.002979,18.192398,0.014237,16.726034,0.007527,1.466364
