_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
1.6453,122.6313764142671,-12.8248862739348,122.63135647689,-12.82487311838,0.1918,0.1813,-4.374,0.179,2.96,0.175,0,18.62418,0.003157,19.325848,0.032811,17.865248,0.020038,1.4606
1.6536,122.6494122952354,-12.8601724129243,122.64940504219,-12.86017012848,-0.0251,0.2155,-1.591,0.256,0.514,0.195,0,18.790543,0.003261,19.14423,0.04055,18.222879,0.020691,0.92135
1.6573,122.6355084921543,-12.850811437,122.63550601682,-12.850785557,-1.8591,0.7772,-0.543,0.838,5.823,0.637,0,19.962172,0.00633,20.924736,0.096376,18.617828,0.027521,2.306908
1.6584,122.632195347788,-12.8223903021691,122.63216278464,-12.82234083106,0.917,0.7911,-7.144,0.708,11.131,0.902,0,20.542847,0.007449,21.064337,0.144063,19.591219,0.074718,1.473118
1.6642,122.6296178504437,-12.8364939623799,122.62959226433,-12.83646161127,0.8642,0.1261,-5.613,0.141,7.279,0.113,0,17.990229,0.002963,18.857407,0.021456,17.110483,0.010044,1.746923
1.6697,122.6724351401945,-12.8099238994285,122.67244873181,-12.80993905054,0.3718,0.8067,2.982,0.661,-3.409,0.827,0,20.319384,0.006404,20.463146,0.109059,19.867117,0.090185,0.596029
1.6806,122.6795911603467,-12.8154786045365,122.67956476049,-12.81547570676,0.1529,0.2996,-5.792,0.314,0.652,0.268,0,19.071566,0.00357,19.381119,0.047975,18.416231,0.02935,0.964888
1.6807,122.6828969021432,-12.8200337830931,122.68288621803,-12.82003624976,0.8295,0.0446,-2.344,0.048,-0.555,0.039,0,15.882982,0.002794,16.279955,0.004626,15.328008,0.00466,0.951947
1.6826,122.6309435187415,-12.8241889921733,122.63093777548,-12.82417045884,0.9249,0.6101,-1.26,0.586,4.17,0.534,0,20.057207,0.005184,21.337263,0.169998,18.96756,0.036314,2.369703
1.7124,122.6790126881621,-12.8536911159763,122.67899927197,-12.85368772931,0.2679,0.0665,-2.943,0.066,0.762,0.054,0,16.659376,0.002819,16.937952,0.005312,16.232159,0.005616,0.705793
