_r,_RAJ2000,_DEJ2000,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP-RP
18.7277,97.7454953609356,-31.3701822193511,97.74549822388,-31.37015730824,1.0634,1.1755,2.4442,1.713,0.55,1.247,5.605,1.39,0,20.933107,0.012352,21.678432,0.171129,19.818937,0.116673,1.859495
18.7286,97.1115925071812,-31.0854002594333,97.11158967361,-31.0853586861,0.0133,0.0157,0.5665,0.0183,-0.546,0.019,9.354,0.021,0,14.716297,0.002769,14.990096,0.003035,14.284385,0.003869,0.705711
18.734,97.10585015597,-31.47312157815,97.10585015597,-31.47312157815,1.825,2.0076,,,,,,,0,21.055387,0.015345,20.406708,0.068933,18.705751,0.033476,1.700956
18.7354,97.0654681706195,-31.1475140150192,97.06544592343,-31.14752666391,0.3026,0.3587,1.4262,0.4372,-4.284,0.442,-2.846,0.444,0,19.896173,0.005724,20.936148,0.091899,18.707529,0.031547,2.228619
18.736,97.2650516649081,-30.9901681848867,97.26505154048,-30.99015839822,0.1042,0.1203,0.2173,0.1402,-0.024,0.146,2.202,0.156,0,18.777603,0.003254,19.301838,0.026864,18.118515,0.017686,1.183323
18.7391,97.6747099197968,-31.0812861971921,97.67471543101,-31.08125653497,0.0537,0.0589,0.8054,0.071,1.062,0.077,6.674,0.076,0,17.434643,0.002886,18.138327,0.0116,16.644365,0.00893,1.493961
18.7419,97.7570193070311,-31.2393841257497,97.75701029347,-31.23938092575,0.0317,0.0384,0.5107,0.0439,-1.734,0.046,0.72,0.05,0,16.556332,0.002809,16.896936,0.006306,16.051498,0.005481,0.845438
18.7435,97.74559295599,-31.37081928039,97.74559295599,-31.37081928039,1.9083,1.8176,,,,,,,0,20.994333,0.017254,21.800989,0.434084,19.676779,0.164913,2.12421
18.7466,97.3013865109164,-31.5840107307144,97.30138250406,-31.58400356627,0.0266,0.028,0.0346,0.0334,-0.768,0.037,1.612,0.036,0,16.244736,0.002787,16.774921,0.005942,15.567875,0.004443,1.207047
18.747,97.04284523133,-31.19846941897,97.04284523133,-31.19846941897,1.3396,2.6579,,,,,,,0,20.975958,0.019301,20.858147,0.171648,19.849344,0.119972,1.008802
18.7487,97.561070991638,-31.0036607565666,97.56106631974,-31.0036625699,0.966,0.9236,1.7014,0.991,-0.901,1.68,-0.408,1.251,0,20.741364,0.009495,20.945919,0.158942,19.732464,0.107103,1.213455
18.7487,97.13118233747,-31.06586031201,97.13118233747,-31.06586031201,0.8511,1.104,,,,,,,0,20.939375,0.013528,21.071007,0.246558,20.183308,0.199165,0.887699
18.7491,97.7431847211235,-31.377768135508,97.74320003651,-31.37777252662,0.3974,0.4448,1.0668,0.6073,2.942,0.545,-0.988,0.52,0,20.325048,0.006393,20.75005,0.082634,19.876661,0.070988,0.873388
18.7498,97.2437457452416,-31.5665519526744,97.24374722145,-31.56654190823,0.1209,0.1354,0.1655,0.1625,0.283,0.162,2.26,0.167,0,18.879894,0.003302,19.261251,0.027494,18.31638,0.016281,0.944872
18.7514,97.3546582042586,-30.97134948236,97.35465543628,-30.97133548236,0.257,0.3318,0.9157,0.3737,-0.534,0.359,3.15,0.389,0,20.04269,0.004845,20.506897,0.08181,19.334311,0.059847,1.172586
18.7535,97.7383076892803,-31.1746968489525,97.73832222371,-31.17468299562,0.7182,1.0716,-1.9682,1.1829,2.798,0.985,3.117,1.496,0,20.748093,0.011105,21.254852,0.209159,19.834152,0.10173,1.4207
18.7539,97.1998495365914,-31.0177436645078,97.19985084865,-31.01774032673,0.0917,0.1073,0.2771,0.1261,0.253,0.125,0.751,0.136,0,18.550955,0.003174,18.879978,0.018311,18.056831,0.017421,0.823147
